,ReportDataID,TermID,TermYear,TernDay,NormID,NormGroupID,NormName,UnitCode,NormTypeID,FromSource,NormValue,ReportTime
82,72117,1,2023,2023-07-30 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,31/07/2023
83,72116,1,2023,2023-07-30 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23758.0,31/07/2023
84,72112,1,2023,2023-07-28 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,29/07/2023
85,72111,1,2023,2023-07-28 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23744.0,29/07/2023
86,72107,1,2023,2023-07-27 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,28/07/2023
87,72106,1,2023,2023-07-27 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23744.0,28/07/2023
88,72094,1,2023,2023-07-26 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,27/07/2023
89,72093,1,2023,2023-07-26 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23736.0,27/07/2023
90,72081,1,2023,2023-07-25 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,26/07/2023
91,72080,1,2023,2023-07-25 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23746.0,26/07/2023
92,72068,1,2023,2023-07-24 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,25/07/2023
93,72067,1,2023,2023-07-24 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23760.0,25/07/2023
94,72055,1,2023,2023-07-23 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,24/07/2023
95,72054,1,2023,2023-07-23 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23753.0,24/07/2023
