,ReportDataID,TermID,TermYear,TernDay,NormID,GroupName,NormGroupID,NormName,UnitCode,CssStyle,NormTypeID,FromSource,NormValue,ReportTime
83,36301,1,2018,2018-12-11 17:00:00,293,,0,Overnight,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.85,12/12/2018
84,57028,1,2018,2018-12-10 17:00:00,501,,0,9 months,%,Padding1,66,,0.0,11/12/2018
85,36299,1,2018,2018-12-10 17:00:00,298,,0,6 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,6.29,11/12/2018
86,36298,1,2018,2018-12-10 17:00:00,297,,0,3 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.9,11/12/2018
87,36297,1,2018,2018-12-10 17:00:00,296,,0,1 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.19,11/12/2018
88,36296,1,2018,2018-12-10 17:00:00,295,,0,2 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.01,11/12/2018
89,36295,1,2018,2018-12-10 17:00:00,294,,0,1 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.82,11/12/2018
90,36294,1,2018,2018-12-10 17:00:00,293,,0,Overnight,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.88,11/12/2018
91,57027,1,2018,2018-12-09 17:00:00,501,,0,9 months,%,Padding1,66,,0.0,10/12/2018
92,36292,1,2018,2018-12-09 17:00:00,298,,0,6 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.9,10/12/2018
93,36291,1,2018,2018-12-09 17:00:00,297,,0,3 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.61,10/12/2018
94,36290,1,2018,2018-12-09 17:00:00,296,,0,1 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.13,10/12/2018
95,36289,1,2018,2018-12-09 17:00:00,295,,0,2 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.91,10/12/2018
96,36288,1,2018,2018-12-09 17:00:00,294,,0,1 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.87,10/12/2018
97,36287,1,2018,2018-12-09 17:00:00,293,,0,Overnight,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.86,10/12/2018
98,57026,1,2018,2018-12-06 17:00:00,501,,0,9 months,%,Padding1,66,,0.0,07/12/2018
99,36285,1,2018,2018-12-06 17:00:00,298,,0,6 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.9,07/12/2018
100,36284,1,2018,2018-12-06 17:00:00,297,,0,3 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.42,07/12/2018
101,36283,1,2018,2018-12-06 17:00:00,296,,0,1 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.24,07/12/2018
102,36282,1,2018,2018-12-06 17:00:00,295,,0,2 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.03,07/12/2018
103,36281,1,2018,2018-12-06 17:00:00,294,,0,1 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.91,07/12/2018
104,36280,1,2018,2018-12-06 17:00:00,293,,0,Overnight,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.84,07/12/2018
105,57025,1,2018,2018-12-05 17:00:00,501,,0,9 months,%,Padding1,66,,0.0,06/12/2018
106,36278,1,2018,2018-12-05 17:00:00,298,,0,6 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,6.0,06/12/2018
107,36277,1,2018,2018-12-05 17:00:00,297,,0,3 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.41,06/12/2018
108,36276,1,2018,2018-12-05 17:00:00,296,,0,1 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.18,06/12/2018
109,36275,1,2018,2018-12-05 17:00:00,295,,0,2 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.83,06/12/2018
110,36274,1,2018,2018-12-05 17:00:00,294,,0,1 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.88,06/12/2018
111,36273,1,2018,2018-12-05 17:00:00,293,,0,Overnight,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.83,06/12/2018
112,57024,1,2018,2018-12-04 17:00:00,501,,0,9 months,%,Padding1,66,,0.0,05/12/2018
113,36271,1,2018,2018-12-04 17:00:00,298,,0,6 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.66,05/12/2018
114,36270,1,2018,2018-12-04 17:00:00,297,,0,3 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.41,05/12/2018
115,36269,1,2018,2018-12-04 17:00:00,296,,0,1 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.02,05/12/2018
116,36268,1,2018,2018-12-04 17:00:00,295,,0,2 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.92,05/12/2018
117,36267,1,2018,2018-12-04 17:00:00,294,,0,1 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.8,05/12/2018
118,36266,1,2018,2018-12-04 17:00:00,293,,0,Overnight,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.83,05/12/2018
119,57023,1,2018,2018-12-03 17:00:00,501,,0,9 months,%,Padding1,66,,0.0,04/12/2018
120,36264,1,2018,2018-12-03 17:00:00,298,,0,6 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.8,04/12/2018
