,quarter,cash_cycle,net_profit,profit_growth_(%),revenue,revenue_growth_(%),market_capital,eps_(vnd),p/e,p/b,p/s,p/cash_flow,outstanding_share,ev/ebitda,bvps_(vnd),cash_ratio,dept/equity,roe_(%),roa_(%),days_sales_outstanding,days_inventory_outstanding,quick_ratio,days_payable_outstanding,gross_profit_margin_(%),ebit_margin_(%),net_profit_margin_(%),current_ratio,asset_turnover,(st_+_lt_borrowings)/equity,financial_leverage,roic_(%),interest_coverage,fixed_asset_turnover,symbol,net_interest_income,net_interest_income_growth_(%)
30,Q2 2017,,501948000000,0.4230818300119925,,,30858710314400.0,509.1260242423,18.7900150135,2.1603423783,,,985901288.0,,14488.4441995363,,,0.1147888559,0.006703741,,,,,,,,,,,,,,,ACB,2019888000000.0,0.1832422518231435
31,Q3 2017,,546797000000,0.6379897070894069,,,41013493580800.0,554.6163799389,22.1065060849,3.1190220076,,,985901288.0,,13337.5140985234,,,0.1297276018,0.0072661298,,,,,,,,,,,,,,,ACB,2147214000000.0,0.2958622841475772
32,Q4 2017,,591220000000,0.8005402656255234,,,45548639514000.0,599.6746436932,20.3706021016,2.6915361241,,,1084491417.0,,15604.4719683831,,,0.1431818605,0.0079037751,,,,,,,,,,,,,,,ACB,2382585000000.0,0.2241845012724385
33,Q1 2018,,1144486000000,1.3934909633892831,,,36872708178000.0,1055.3204833081,13.2423620721,2.0334449499,,,1084491417.0,,16720.3936363205,,,0.1802397593,0.009942003,,,,,,,,,,,,,,,ACB,2372811000000.0,0.24356796695294244
34,Q2 2018,,1317913000000,1.6255966753528255,,,36916087848000.0,1215.2359847944,10.2532840556,2.0151965772,,,1247165130.0,,14688.3933485215,,,0.2207865329,0.0123682717,,,,,,,,,,,,,,,ACB,2488262000000.0,0.23188117360962585
35,Q3 2018,,1309422000000,1.3947132116672185,,,36417221796000.0,1049.9187030673,8.346752165,1.8657522074,,,1247165130.0,,15650.524161143,,,0.2456468506,0.0144601155,,,,,,,,,,,,,,,ACB,2563243000000.0,0.19375292821302395
36,Q4 2018,,1365231000000,1.3091759412739759,,,37414953900000.0,1094.6673882883,7.525255925,1.7801471926,,,1247165130.0,,16852.5390058011,,,0.2702545253,0.0164131661,,,,,,,,,,,,,,,ACB,2938604000000.0,0.2333679595901091
37,Q1 2019,,1365889000000,0.19345190766859532,,,38425157655300.0,1095.1949848207,7.1709397112,1.7166775559,,,1621314669.0,,13805.7376695455,,,0.2638366329,0.0166426907,,,,,,,,,,,,,,,ACB,2856540000000.0,0.20386326597440757
38,Q2 2019,,1532743000000,0.1630077250926275,,,38100894721500.0,1228.9815985186,6.8363441191,1.5986140099,,,1621314669.0,,14700.2339864724,,,0.256970075,0.0167762405,,,,,,,,,,,,,,,ACB,2903004000000.0,0.16667939308641935
39,Q3 2019,,1549212000000,0.18312660089718977,,,40584624286500.0,955.5282842434,6.8674571244,1.6000682016,,,1656515277.0,,15311.8473171799,,,0.2511064926,0.0169200031,,,,,,,,,,,,,,,ACB,3023025000000.0,0.17937511191876854
40,Q4 2019,,1549241000000,0.1347830513663988,,,32922198084600.0,951.9865649121,5.4779606741,1.1857292421,,,1662737277.0,,16698.584547341,,,0.2414918176,0.0167934964,,,,,,,,,,,,,,,ACB,3329591000000.0,0.13305195255978688
41,Q1 2020,,1537053000000,0.12531325751946168,,,40570789558800.0,944.4972122206,6.4726808696,1.3793786919,,,1662737277.0,,17689.123475398,,,0.2319699749,0.0166706754,,,,,,,,,,,,,,,ACB,3419444000000.0,0.1970579792336183
42,Q2 2020,,1521655000000,-0.007234089472272912,,,55335896576000.0,929.9507129624,8.9207525599,1.7947294344,,,2161558460.0,,14263.9884928211,,,0.2172573283,0.0161409759,,,,,,,,,,,,,,,ACB,3111946000000.0,0.07197440995603176
43,Q3 2020,,2074572000000,0.33911433683705006,,,60739792726000.0,966.9109404454,9.0666215318,1.8451305255,,,2161558460.0,,15229.2749001107,,,0.2210627295,0.0168493192,,,,,,,,,,,,,,,ACB,3635001000000.0,0.2024382861537698
44,Q4 2020,,2549543000000,0.6456723001779581,,,70250649950000.0,1182.4501519479,9.1438591322,1.9817853453,,,2161558460.0,,16399.3542881093,,,0.238945869,0.0186540252,,,,,,,,,,,,,,,ACB,4415732000000.0,0.3262085343214828
45,Q1 2021,,2483401000000,0.6156898948832604,,,89569578686250.0,1149.6751015876,10.379859137,2.361485607,,,2701948075.0,,14037.7734683151,,,0.2517097507,0.0201904664,,,,,,,,,,,,,,,ACB,4639572000000.0,0.35682058252745186
46,Q2 2021,,2588235000000,0.7009341802182493,,,84435877343750.0,957.914403284,8.7085443987,2.0910194414,,,2701948075.0,,14944.8634389467,,,0.2644114647,0.0217385162,,,,,,,,,,,,,,,ACB,4990387000000.0,0.6036226207010018
47,Q3 2021,,2102615000000,0.01351748698044705,,,92811916376250.0,778.1848221127,9.5448255846,2.1846612495,,,2701948075.0,,15723.261447206,,,0.2489431803,0.0210856359,,,,,,,,,,,,,,,ACB,4520511000000.0,0.24360653545899985
48,Q4 2021,,2428495000000,-0.04747831277997665,,,83490195517500.0,898.794096008,8.694408532,1.8594321892,,,2701948075.0,,16617.9762725455,,,0.2318189034,0.0199240647,,,,,,,,,,,,,,,ACB,4794322000000.0,0.08573663437907916
49,Q1 2022,,3287535000000,0.3238035258905026,,,81733929274800.0,973.3821286174,7.8538361394,1.6956074236,,,3377435094.0,,14272.1715320697,,,0.236563115,0.0207412634,,,,,,,,,,,,,,,ACB,5440672000000.0,0.17266678909175243
50,Q2 2022,,3943148000000,0.5234891731237696,,,68899675917600.0,1167.4977737707,5.8579229148,1.3233133887,,,3377435094.0,,15415.8494688751,,,0.2507127211,0.0226247951,,,,,,,,,,,,,,,ACB,5606390000000.0,0.12343792174835339
51,Q3 2022,,3586992000000,0.7059670933575571,,,85786851387600.0,1062.0461603603,6.4763514301,1.5391991645,,,3377435094.0,,16502.0879598878,,,0.2637300164,0.0245156797,,,,,,,,,,,,,,,ACB,6032250000000.0,0.33441772401394443
52,Q4 2022,,2870518000000,0.18201519871360658,,,81733929274800.0,849.9106271063,5.9711263481,1.3986276393,,,3377435094.0,,17302.6753656395,,,0.2553258152,0.0244283478,,,,,,,,,,,,,,,ACB,6454217000000.0,0.3462210089351529
53,Q1 2023,,4135029000000,0.2577901071775662,,,86225917947600.0,1224.3104173158,5.9320153566,1.3789491511,,,3884050358.0,,16099.2158279324,,,0.2541541819,0.0250189415,,,,,,,,,,,,,,,ACB,6215154000000.0,0.14235043024097024
54,Q2 2023,,3865846000000,-0.019604133550148256,,,88167943126600.0,1204.8526276198,5.0375189458,1.4024478547,,,3884050358.0,,16185.985042782,,,0.241404855,0.0239863156,,,,,,,,,,,,,,,ACB,6245672000000.0,0.114027386607068
55,Q3 2023,,4037579000000,0.12561695147354665,,,98266474057400.0,1039.527972506,6.5910965699,1.4704983028,,,3884050358.0,,17205.052159625,,,0.2379142232,0.0238686591,,,,,,,,,,,,,,,ACB,6209128000000.0,0.029322060590990094
56,Q4 2016,175.583935449,2869056015,1.1134436798133007,761012711294.0,0.09516761448636638,459236750000.0,43.7321100827,23.7622385994,0.3514537393,0.1625889983,1.7488838439,65605250.0,10.7955792502,19917.2727943182,0.014666562,1.3047087388,0.0153792701,0.0063326518,54.154837591,143.0654080064,0.4521328146,21.6363101484,0.1174132742,0.0327800328,0.003790317,1.2885249756,0.2518075598,1.0569930871,2.4285671318,0.0324712646,1.3018864994,1.5991533355,ANV,,
57,Q1 2017,194.0656239718,24889056519,3.530190198552434,701300942857.0,0.19997795136920557,918473500000.0,379.3759877296,23.5128597361,0.6898461643,0.3117493367,0.5671424848,65605250.0,12.6633043943,20294.3797112727,0.0215530784,1.114204748,0.0303150558,0.0130207646,65.5621800116,153.2664497007,0.4890082506,24.7630057405,0.1253427003,0.0656213781,0.0356577522,1.3491619512,0.2391457768,0.9767996127,2.3282085788,0.03924355,2.7881061053,1.4490839643,ANV,,
58,Q2 2017,208.8564301211,27631959407,1.2456805755416682,670072910769.0,-0.12962302852159074,1120602376250.0,421.1851857435,6.2545606914,0.4536182019,0.3932708853,0.6166722919,124649875.0,9.5576587296,19818.4287174394,0.0177592029,1.0676593338,0.1358830899,0.0621716729,65.9384680966,160.0822602516,0.4331233628,17.1642982271,0.1514990432,0.1015169356,0.0413590975,1.300834584,0.2422808563,0.9068978091,2.1856109632,0.0666442522,4.1753778016,1.4076711696,ANV,,
59,Q3 2017,170.909320873,33194113172,-0.7318201532820231,740407586642.0,0.011752177068559005,1682773312500.0,266.2988083382,18.9963175747,1.2586410207,0.5882684082,0.8946803593,124649875.0,10.2786436876,10725.8541382566,0.0134380332,0.9156552682,0.0668128333,0.0319404585,54.6423254797,132.0509039503,0.3731730193,15.783908557,0.1227534306,0.0758762081,0.0450081809,1.2268220044,0.280624071,0.7548369494,2.0917931796,0.0765237138,4.510046382,1.5450589497,ANV,,
60,Q4 2017,140.1092000097,45112447046,14.723794450210482,855778677007.0,0.12452612723362161,3191036800000.0,361.9132955087,22.4142296173,2.2900277454,1.0820226218,4.2790503714,124649875.0,13.4327180581,11178.9038589783,0.0210201242,0.9463893765,0.0973604439,0.0486032011,44.8098033084,109.5835730913,0.3298007059,14.28417639,0.1653939088,0.0751654927,0.053032813,1.0562904258,0.3239395127,0.7966518875,2.0031693727,0.0938595082,5.4395206895,1.7047575709,ANV,,
61,Q1 2018,137.3144994397,75891040665,2.0491730615447685,817634535287.0,0.16588255529227372,2362115131250.0,608.8336684253,12.9908202356,1.6081923442,0.7691695569,1.4113454266,124649875.0,10.0587548218,11783.4163733307,0.0041756044,1.0551731812,0.132023583,0.0663175217,48.3489624251,112.8555351853,0.2577324485,23.8899981707,0.1698546967,0.1168470383,0.0931486012,0.899706479,0.285321017,0.8265241981,1.9907798066,0.1131726882,10.7424994531,1.4997534965,ANV,,
