,ReportDataID,TermID,TermYear,TernDay,NormID,GroupName,NormGroupID,NormName,UnitCode,CssStyle,NormTypeID,FromSource,NormValue,ReportTime
158,69437,12,2022,2022-11-28 17:00:00,401,,0,"Garment, Footwear, hat",%,Padding2,52,Tổng cục thống kê,0.22,Nov-2022
159,69436,12,2022,2022-11-28 17:00:00,400,,0,Beverage and cigarette,%,Padding2,52,Tổng cục thống kê,0.26,Nov-2022
160,69431,12,2022,2022-11-28 17:00:00,399,,0,Eating outside,%,Padding3,52,Tổng cục thống kê,0.22,Nov-2022
161,69430,12,2022,2022-11-28 17:00:00,398,,0,Foodstuff,%,Padding3,52,Tổng cục thống kê,-0.3,Nov-2022
162,69429,12,2022,2022-11-28 17:00:00,397,,0,Food,%,Padding3,52,Tổng cục thống kê,0.59,Nov-2022
163,69428,12,2022,2022-11-28 17:00:00,396,,0,Food and foodstuff,%,Padding2,52,Tổng cục thống kê,-0.07,Nov-2022
164,69426,12,2022,2022-11-28 17:00:00,395,,0,Consumer Price Index,%,Padding1,52,Tổng cục thống kê,0.39,Nov-2022
165,68982,11,2022,2022-10-30 17:00:00,409,,0,Other goods and services ,%,Padding2,52,Tổng cục thống kê,0.23,Oct-2022
166,68981,11,2022,2022-10-30 17:00:00,408,,0,"Culture, entertainment and tourism",%,Padding2,52,Tổng cục thống kê,0.06,Oct-2022
167,68980,11,2022,2022-10-30 17:00:00,407,,0,Education,%,Padding2,52,Tổng cục thống kê,2.35,Oct-2022
168,68979,11,2022,2022-10-30 17:00:00,406,,0,Postal services and Telecommunication,%,Padding2,52,Tổng cục thống kê,-0.06,Oct-2022
169,68988,11,2022,2022-10-30 17:00:00,405,,0,Traffic,%,Padding2,52,Tổng cục thống kê,-2.17,Oct-2022
170,68987,11,2022,2022-10-30 17:00:00,404,,0,Medicine and health care,%,Padding2,52,Tổng cục thống kê,0.06,Oct-2022
171,68986,11,2022,2022-10-30 17:00:00,403,,0,Household appliances and goods,%,Padding2,52,Tổng cục thống kê,0.12,Oct-2022
172,68985,11,2022,2022-10-30 17:00:00,402,,0,Housing and construction materials,%,Padding2,52,Tổng cục thống kê,0.69,Oct-2022
173,68984,11,2022,2022-10-30 17:00:00,401,,0,"Garment, Footwear, hat",%,Padding2,52,Tổng cục thống kê,0.2,Oct-2022
174,68983,11,2022,2022-10-30 17:00:00,400,,0,Beverage and cigarette,%,Padding2,52,Tổng cục thống kê,0.34,Oct-2022
175,68978,11,2022,2022-10-30 17:00:00,399,,0,Eating outside,%,Padding3,52,Tổng cục thống kê,0.21,Oct-2022
176,68977,11,2022,2022-10-30 17:00:00,398,,0,Foodstuff,%,Padding3,52,Tổng cục thống kê,0.1,Oct-2022
177,68976,11,2022,2022-10-30 17:00:00,397,,0,Food,%,Padding3,52,Tổng cục thống kê,0.13,Oct-2022
178,68975,11,2022,2022-10-30 17:00:00,396,,0,Food and foodstuff,%,Padding2,52,Tổng cục thống kê,0.13,Oct-2022
179,68973,11,2022,2022-10-30 17:00:00,395,,0,Consumer Price Index,%,Padding1,52,Tổng cục thống kê,0.15,Oct-2022
180,68496,10,2022,2022-09-28 17:00:00,409,,0,Other goods and services ,%,Padding2,52,Tổng cục thống kê,0.14,Sep-2022
181,68495,10,2022,2022-09-28 17:00:00,408,,0,"Culture, entertainment and tourism",%,Padding2,52,Tổng cục thống kê,0.03,Sep-2022
182,68494,10,2022,2022-09-28 17:00:00,407,,0,Education,%,Padding2,52,Tổng cục thống kê,5.84,Sep-2022
183,68493,10,2022,2022-09-28 17:00:00,406,,0,Postal services and Telecommunication,%,Padding2,52,Tổng cục thống kê,-0.04,Sep-2022
184,68502,10,2022,2022-09-28 17:00:00,405,,0,Traffic,%,Padding2,52,Tổng cục thống kê,-2.23,Sep-2022
185,68501,10,2022,2022-09-28 17:00:00,404,,0,Medicine and health care,%,Padding2,52,Tổng cục thống kê,0.03,Sep-2022
186,68500,10,2022,2022-09-28 17:00:00,403,,0,Household appliances and goods,%,Padding2,52,Tổng cục thống kê,0.16,Sep-2022
187,68499,10,2022,2022-09-28 17:00:00,402,,0,Housing and construction materials,%,Padding2,52,Tổng cục thống kê,0.94,Sep-2022
188,68498,10,2022,2022-09-28 17:00:00,401,,0,"Garment, Footwear, hat",%,Padding2,52,Tổng cục thống kê,0.16,Sep-2022
